TARGET_TABLE_NAME;ACTIVE_FLAG;BUSINESS_UNIT;COLUMNS;INCREMENTAL_COLUMN;LOAD_TYPE;PROCESS_ID;SOURCE_ENDPOINT;SOURCE_TABLE;TEMPORAL_NAME
SAP_UNACEM_EC_ZIFCMLMATLEDGDOC;true;;;;full;10;SAP_UNACEM_EC;ZIFCMLMATLEDGDOC;ZIFCMLMATLEDGDOC_CDC
CONCREMAX_FULL_DMS_DOV;true;;;;full;10;CONCREMAX_FULL_DMS;dov;
UNICON_REPLCS_FULL_DMS_ICAT;true;;;;full;10;UNICON_REPLCS_FULL_DMS;icat;
SAP_UNACEM_EC_POC_ZIWORKCENTERTD;true;;;;full;10;SAP_UNACEM_EC_POC;ZIWORKCENTERTD;ZIWORKCENTERTD
UNICON_FULL_DMS_FAM;true;;;;full;10;UNICON_FULL_DMS;fam;
SAP_UNACEM_EC_ZIMATVALUATION;true;;;;full;10;SAP_UNACEM_EC;ZIMATVALUATION;ZIMATVALUATION
CONCREMAXREPLCS_FULL_DMS_PLNT;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;plnt;
CONCREMAX_FULL_DMS_OCC;true;;;;full;10;CONCREMAX_FULL_DMS;occ;
SAP_UNACEM_EC_IPRODUCT;true;;;;full;10;SAP_UNACEM_EC;IPRODUCT;IPRODUCT_CDC
UNICON_REPLCS_FULL_DMS_RSNC;true;;;;full;10;UNICON_REPLCS_FULL_DMS;rsnc;
UNICON_FULL_DMS_DOV;true;;;;full;10;UNICON_FULL_DMS;dov;
CONCREMAX_FULL_DMS_TCB;true;;;;full;10;CONCREMAX_FULL_DMS;tcb;
UNICON_FULL_DMS_DDV;true;;;;full;10;UNICON_FULL_DMS;ddv;
CONCREMAX_FULL_DMS_DDV;true;;;;full;10;CONCREMAX_FULL_DMS;ddv;
CONCREMAX_FULL_DMS_IGR;true;;;;full;10;CONCREMAX_FULL_DMS;igr;
SAP_UNACEM_EC_ZIHBDREPSTRUCML;true;;;;full;10;SAP_UNACEM_EC;ZIHBDREPSTRUCML;
CONCREMAXREPLCS_FULL_DMS_COMP;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;comp;
UNICON_REPLCS_FULL_DMS_PLNT;true;;;;full;10;UNICON_REPLCS_FULL_DMS;plnt;
SAP_UNACEM_EC_ZISALESDOBASDEX;true;;;;full;10;SAP_UNACEM_EC;ZISALESDOBASDEX;ZISALESDOBASDEX
UNICON_FULL_DMS_COO;true;;;;full;10;UNICON_FULL_DMS;coo;
SALESFORCE_OPPORTUNITY;true;;"""Tonelaje_2__c,Zona__c,IsClosed,PushCount,A_o_4__c,HasOverdueTask,Segmento_de_Uso__c,Id,LastActivityDate,Muestras__c,Tipo_de_Precio__c,IsWon,Capacitaci_n__c,LastModifiedById,FiscalYear,Tonelaje_1__c,Name,ContactId,Tonelaje_4__c,Comentario_Perdida__c,Tonelaje_5__c,LastViewedDate,T_rminos_de_Pago__c,Fiscal,LastReferencedDate,LastModifiedDate,A_o_2__c,Fecha_Inicio__c,NextStep,CreatedDate,ForecastCategory,CampaignId,Precio_Referencial__c,ForecastCategoryName,DB_Competitor__c,A_o_1__c,IsDeleted,Canal__c,Movilizaci_n__c,A_o_3__c,Cerrado_Ganado__c,Tonelaje_3__c,LastAmountChangedHistoryId,Probability,CloseDate,No_actual_de_visitas__c,AccountId,Toneladas__c,HasOpenActivity,Presupuesto__c,LastCloseDateChangedHistoryId,Calcular_IVA__c,Cerrado_Perdido__c,OwnerId,Amount,StageName,LastStageChangeDate,FiscalQuarter,Description,Total__c,Candidato__c,SystemModstamp,Type,Pruebas__c,CreatedById,A_o_5__c,SyncedQuoteId,HasOpportunityLineItem,LeadSource,Pricebook2Id""";;full;10;SALESFORCE_UNACEM_EC;opportunity;
CONCREMAX_FULL_DMS_COB;true;;;;full;10;CONCREMAX_FULL_DMS;cob;
UNICON_FULL_DMS_DAC;true;;;;full;10;UNICON_FULL_DMS;dac;
UNICON_FULL_DMS_EST;true;;;;full;10;UNICON_FULL_DMS;est;
CONCREMAXREPLCS_FULL_DMS_USGE;true;;;;full;10;CONCREMAXREPLCS_FULL_DMS;usge;
UNICON_FULL_DMS_DVT;true;;;;full;10;UNICON_FULL_DMS;dvt;
UNICON_FULL_DMS_RCL;true;;;;full;10;UNICON_FULL_DMS;rcl;
UNICON_FULL_DMS_GRE;true;;;;full;10;UNICON_FULL_DMS;gre;
CONCREMAX_FULL_DMS_ODE;true;;;;full;10;CONCREMAX_FULL_DMS;ode;
SAP_UNACEM_EC_ZIOPCSEG;true;;;;full;10;SAP_UNACEM_EC;ZIOPCSEG;ZIOPCSEG_CDC
SAP_UNACEM_EC_ZIADDRESS;true;;;;full;10;SAP_UNACEM_EC;ZIADDRESS;ZIADDRESS_CDC
SAP_UNACEM_EC_ZIPRODUCTTEXT;true;;;;full;10;SAP_UNACEM_EC;ZIPRODUCTTEXT;ZIPRODUCTTEXT_CDC
CONCREMAX_FULL_DMS_BOM;true;;;;full;10;CONCREMAX_FULL_DMS;bom;
SAP_UNACEM_EC_ZISEGMENTOS;true;;;;full;10;SAP_UNACEM_EC;ZISEGMENTOS;ZISEGMENTOS
SALESFORCE_CONTRACT_UNICON_PE;true;;*;;full;10;SALESFORCE_UNICON_PE;contract;
SAP_UNACEM_EC_ZIPROVINCETEXT;true;;;;full;10;SAP_UNACEM_EC;ZIPROVINCETEXT;ZIPROVINCETEXT_CDC
CONCREMAX_FULL_DMS_PER;true;;;;full;10;CONCREMAX_FULL_DMS;per;
